variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
graminoid_wm,veg_type0M,0.21612485752793684,0.3769068856856788,-3.4183335851797936,6.300583389516674e-4,0.11638504104337957,0.36594108062224084,M,79
graminoid_wm,veg_type0R,0.2755001826368407,0.3353656921507885,-2.8831011662273416,0.003937809520732192,0.16462674234204994,0.42321517479016085,R,154
graminoid_wm,veg_type0TD_mesic,0.5105983540567003,0.3168837626157444,0.13380227095178135,0.8935589313857856,0.3592361531495207,0.6600418070918845,TD_mesic,85
graminoid_wm,veg_type0TD_wet,0.4222598746352382,0.30406979687645763,-1.0310238620290988,0.302529629980778,0.28710849485394796,0.5701498678728655,TD_wet,219
graminoid_wm,veg_type0TE,0.4717851515443997,0.35137550929314143,-0.3215346925331774,0.7478052259979602,0.3096699508686202,0.6400782820519324,TE,75
graminoid_wm,veg_type0TFG,0.3055950524861028,0.3741801791195771,-2.1935807034876973,0.028265566910960112,0.1744842165089896,0.478160218889249,TFG,63
graminoid_wm,veg_type0TH,0.528176150185344,0.29936782424390146,0.37687460148531043,0.7062667971635613,0.3836874282820367,0.6680933784955477,TH,362
graminoid_wm,veg_type0X,0.5212510606974133,0.3916522169460802,0.21717094760453895,0.828075124832583,0.33568822409355215,0.7011289731787154,X,42
graminoid_uwm,veg_type0A,0.7253390182608844,0.37020725548332833,2.6231296094119667,0.008712612117309441,0.561070738331157,0.8451025244937731,A,72
graminoid_uwm,veg_type0M,0.29534831014663543,0.3245126671870896,-2.679551029884403,0.007372096552972277,0.18159455408126726,0.44188506307367953,M,79
graminoid_uwm,veg_type0R,0.5524981775672911,0.27605333976742313,0.763510142139044,0.44515921608825376,0.41817126064557764,0.6795760376521768,R,152
graminoid_uwm,veg_type0TD_mesic,0.5987979820376145,0.26398708459969833,1.516965109276953,0.1292754933637756,0.4707967798445944,0.7146067575856999,TD_mesic,83
graminoid_uwm,veg_type0TD_wet,0.6004776849178044,0.24797559406273892,1.643128874676349,0.10035627181063934,0.4803682539372028,0.7096076129489719,TD_wet,219
graminoid_uwm,veg_type0TE,0.6029237666990387,0.30884593842959523,1.352332757856363,0.17626888961826886,0.453221098426539,0.7355544883548695,TE,75
graminoid_uwm,veg_type0TFG,0.5580298007891955,0.32285503720014513,0.7222123966374367,0.47016390282982845,0.40140500358409154,0.7039031450820267,TFG,62
